id,brand,product_title,product_name,price,description,img1,img2,img3
1,Adidas,"Adidas Incurza Control 1.0 Cricket Bat",B1P1,1047,"English Willow Grade 1 Bat.
Pressed for performance, then shaped into a huge profile for the Modern Player.
Thick edges and an imposing swell, highlight the power contained within.
The blade is perfectly balanced to produce a combination of unrivalled pick up and devastating amount of hitting power.
Hand pressed bowed blade improves feel and ensures premium performance.
Fitted with an adidas specific Round cane handle for optimum comfort and a highly responsive feel.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P1/B1P1I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P1/B1P1I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P1/B1P1I3.jpeg
2,Adidas,"Adidas Incurza 1.0 Cricket Bat",B1P2,646,"Built for power. 
The INCURZA features large edges and a square face, helping provide maximum results.
Perfectly balanced with high performance this is the perfect bat for the player who likes to play big entertaining shots.
The Incurza range will be endorsed by England Internationals Jofra Archer and Tom Banton.
Handle: Rounded handle best suited to hard hitting batsmen who like to lift the ball",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P2/B1P2I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P2/B1P2I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P2/B1P2I3.jpeg
3,Adidas,"Adidas Incurza Heat 1.0 Cricket Bat",B1P3,1039,"English Willow Grade 1 Bat
Pressed for performance, then shaped into a huge profile for the Modern Player.
Thick edges and an imposing swell, highlight the power contained within.
The blade is perfectly balanced to produce a combination of unrivalled pick up and devastating amount of hitting power.
Hand pressed bowed blade improves feel and ensures premium performance.
Fitted with an adidas specific Round cane handle for optimum comfort and a highly responsive feel.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P3/B1P3I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P3/B1P3I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P3/B1P3I3.jpeg
4,Adidas,"Adidas Incurza 1.0 Cricket Batting Gloves",B1P4,143,"International High Grade specification
Unique adidas styling with ultimate impact protection
High density lightweight foam / cushioning
Super Flexible finger construction.
Fibre shield impact protection on all fingers
Two piece hinged locking thumb",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P4/B1P4I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P4/B1P4I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P4/B1P4I3.jpeg
5,Adidas,"Adidas Incurza 6.0 Cricket Battting Gloves",B1P5,75,"Premium adidas batting  glove offering excellent comfort and protection
High density lightweight foam cushioning
Anatomic pre-curved finger construction
Two piece hinged thumb
Durable Super soft leather palm
Secure wrist closure with embossed adidas performance tab",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P5/B1P5I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P5/B1P5I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P5/B1P5I3.jpeg
6,Adidas,"Adidas Incurza 2.0 Cricket Battting Pads",B1P6,153,"Anti-rebound foam panels and side wings
Three part airmesh knee bolster provides secure stability and support
Premium padded leg bolsters with mesh ventilation for comfort
Secure strap system with embossed adidas Performance logo on Tabs. 
Ultra lightweight, easy to clean P.U Material",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P6/B1P6I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P6/B1P6I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P6/B1P6I3.jpeg
7,Adidas,"Adidas Incurza 1.0 Wicketkeeping Glove",B1P7,170,"Elite level Supersoft analine Premium wicketkeeping glove as worn by adidas endorsed wicketkeepers
Premium  Leather Test Match quality with cushioned palm
Conforms to ICC regulations
Square-cut cuff
Supersoft analine leather backhand
Superior anatomic construction and fit",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P7/B1P7I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P7/B1P7I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P7/B1P7I3.jpeg
8,Adidas,"Adidas 22YDS Boost Cricket Shoes",B1P8,209,"These cricket shoes are designed with a BOOST midsole that delivers responsive cushioning to help fuel each sprint and leap.
A sleek silhouette adds a streetwear vibe, while the low-cut design helps you move with speed and agility on the field.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P8/B1P8I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P8/B1P8I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Adidas/P8/B1P8I3.jpeg
9,Gray-Nicolls,"Gray-Nicolls ShockWave Gen 2.0",B2P1,1020,"Exclusively handmade in Robertsbridge by the Master Bat Maker.
Made using the highest grade of English Willow.
A Gray-Nicolls Bat Sleeve is included with all bats.
Each bat comes without a Toe Guard or Anti-Scuff Sheet.
Will require preparation to maximise performance and life span.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P1/B2P1I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P1/B2P1I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P1/B2P1I3.jpeg
10,Gray-Nicolls,"Gray-Nicolls Neocore Player Edition",B2P2,935,"Our new NEOCORE technology improves cricket bat pick up and weight distribution.
Convex profile from spine to toe, players at all levels will be able to play with a Pro Shape.
Big bat with no concaving, creates large hitting area with mid to low sweet spot.
Flat Face – Increases bat profile pressed to perfection.
Lower balance point to generate power and bat speed & outstanding pick up.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P2/B2P2I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P2/B2P2I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P2/B2P2I3.jpeg
